service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20230405,20230405
2,1,1,1,1,1,0,0,20230405,20230428
3,1,1,1,1,1,0,0,20230405,20230428
4,1,1,1,1,1,0,0,20230405,20230428
5,1,1,1,1,1,0,0,20230405,20230406
6,1,1,1,1,1,0,0,20230405,20230427
7,1,1,1,1,1,0,0,20230405,20230428
8,1,1,1,1,1,0,0,20230405,20230428
9,1,1,1,1,1,0,0,20230405,20230420
10,1,1,1,1,1,0,0,20230405,20230428
11,1,1,1,1,1,0,0,20230405,20230428
12,1,1,1,1,1,0,0,20230405,20230428
13,1,1,1,1,1,0,0,20230405,20230428
14,1,1,1,1,1,0,0,20230405,20230427
15,1,1,1,1,1,0,0,20230405,20230428
16,1,1,1,1,1,0,0,20230405,20230411
17,1,1,1,1,1,0,0,20230405,20230411
18,1,1,1,1,1,0,0,20230405,20230414
19,1,1,1,1,1,0,0,20230405,20230414
20,1,1,1,1,1,0,0,20230405,20230414
21,1,1,1,1,1,0,0,20230405,20230428
22,1,1,1,1,1,0,0,20230405,20230427
23,1,1,1,1,1,0,0,20230405,20230428
24,1,1,1,1,1,0,0,20230405,20230427
25,1,1,1,1,1,0,0,20230406,20230428
26,1,1,1,1,1,0,0,20230406,20230427
27,1,1,1,1,1,0,0,20230406,20230406
28,1,1,1,1,1,0,0,20230406,20230428
29,1,1,1,1,1,0,0,20230406,20230419
30,1,1,1,1,1,0,0,20230406,20230414
31,1,1,1,1,1,0,0,20230406,20230427
32,1,1,1,1,1,0,0,20230406,20230413
33,0,0,0,0,0,1,1,20230407,20230430
34,0,0,0,0,0,1,1,20230407,20230430
35,0,0,0,0,0,1,1,20230407,20230410
36,0,0,0,0,0,1,1,20230407,20230430
37,0,0,0,0,0,1,1,20230407,20230429
38,0,0,0,0,0,1,1,20230407,20230430
39,0,0,0,0,0,1,1,20230407,20230423
40,0,0,0,0,0,1,1,20230407,20230407
41,0,0,0,0,0,1,1,20230407,20230416
42,0,0,0,0,0,1,1,20230407,20230410
43,0,0,0,0,0,1,1,20230407,20230409
44,0,0,0,0,0,1,1,20230407,20230416
45,0,0,0,0,0,1,1,20230407,20230415
46,0,0,0,0,0,1,1,20230407,20230422
47,0,0,0,0,0,1,1,20230407,20230423
48,0,0,0,0,0,1,1,20230407,20230429
49,0,0,0,0,0,1,1,20230407,20230430
50,0,0,0,0,0,1,1,20230407,20230429
51,0,0,0,0,0,1,1,20230407,20230430
52,0,0,0,0,0,1,1,20230407,20230429
53,0,0,0,0,0,1,1,20230407,20230430
54,0,0,0,0,0,1,1,20230407,20230430
55,0,0,0,0,0,1,1,20230407,20230409
56,0,0,0,0,0,1,1,20230407,20230430
57,0,0,0,0,0,1,1,20230407,20230415
58,0,0,0,0,0,1,1,20230407,20230423
59,0,0,0,0,0,1,1,20230407,20230408
60,0,0,0,0,0,1,1,20230408,20230429
61,0,0,0,0,0,1,1,20230408,20230430
62,0,0,0,0,0,1,1,20230408,20230430
63,0,0,0,0,0,1,1,20230408,20230409
64,0,0,0,0,0,1,1,20230408,20230415
65,0,0,0,0,0,1,1,20230408,20230430
66,0,0,0,0,0,1,1,20230408,20230430
67,0,0,0,0,0,1,1,20230408,20230410
68,0,0,0,0,0,1,1,20230408,20230430
69,0,0,0,0,0,1,1,20230408,20230430
70,0,0,0,0,0,1,1,20230408,20230430
71,0,0,0,0,0,1,1,20230408,20230430
72,0,0,0,0,0,1,1,20230408,20230410
73,0,0,0,0,0,1,1,20230408,20230430
74,0,0,0,0,0,1,1,20230408,20230429
75,0,0,0,0,0,1,1,20230408,20230416
76,0,0,0,0,0,1,1,20230408,20230408
77,0,0,0,0,0,1,1,20230408,20230416
78,0,0,0,0,0,1,1,20230408,20230415
79,0,0,0,0,0,1,1,20230408,20230430
80,0,0,0,0,0,1,1,20230408,20230430
81,0,0,0,0,0,1,1,20230409,20230409
82,0,0,0,0,0,1,1,20230409,20230430
83,0,0,0,0,0,1,1,20230409,20230430
84,0,0,0,0,0,1,1,20230409,20230430
85,0,0,0,0,0,1,1,20230409,20230416
86,0,0,0,0,0,1,1,20230409,20230416
87,0,0,0,0,0,1,1,20230409,20230430
88,0,0,0,0,0,1,1,20230410,20230423
89,0,0,0,0,0,1,1,20230410,20230410
90,0,0,0,0,0,1,1,20230410,20230416
91,1,1,1,1,1,0,0,20230411,20230428
92,1,1,1,1,1,0,0,20230411,20230419
93,1,1,1,1,1,0,0,20230411,20230424
94,1,1,1,1,1,0,0,20230411,20230417
95,1,1,1,1,1,0,0,20230411,20230414
96,1,1,1,1,1,0,0,20230411,20230420
97,1,1,1,1,1,0,0,20230411,20230426
98,1,1,1,1,1,0,0,20230411,20230418
99,1,1,1,1,1,0,0,20230411,20230417
100,1,1,1,1,1,0,0,20230411,20230413
101,1,1,1,1,1,0,0,20230411,20230427
102,1,1,1,1,1,0,0,20230412,20230414
103,1,1,1,1,1,0,0,20230413,20230428
104,1,1,1,1,1,0,0,20230414,20230428
105,1,1,1,1,1,0,0,20230414,20230428
106,0,0,0,0,0,1,1,20230415,20230416
107,0,0,0,0,0,1,1,20230415,20230415
108,0,0,0,0,0,1,1,20230415,20230430
109,0,0,0,0,0,1,1,20230415,20230429
