service_id,date,exception_type
2,20230407,2
2,20230410,2
3,20230406,2
3,20230407,2
3,20230410,2
3,20230411,2
3,20230412,2
3,20230413,2
3,20230417,2
3,20230418,2
3,20230419,2
3,20230420,2
3,20230424,2
3,20230425,2
3,20230426,2
3,20230427,2
4,20230406,2
4,20230407,2
4,20230410,2
6,20230406,2
6,20230407,2
6,20230410,2
6,20230414,2
6,20230421,2
7,20230406,2
7,20230407,2
7,20230410,2
7,20230411,2
7,20230412,2
7,20230413,2
7,20230414,2
7,20230417,2
7,20230418,2
7,20230419,2
8,20230407,2
8,20230410,2
8,20230424,2
8,20230425,2
8,20230426,2
8,20230427,2
9,20230406,2
9,20230407,2
9,20230410,2
9,20230414,2
10,20230407,2
10,20230410,2
10,20230411,2
10,20230417,2
10,20230424,2
10,20230425,2
10,20230426,2
10,20230427,2
11,20230407,2
11,20230410,2
11,20230424,2
11,20230425,2
12,20230407,2
12,20230410,2
12,20230411,2
12,20230417,2
12,20230424,2
13,20230407,2
13,20230410,2
13,20230411,2
13,20230412,2
13,20230413,2
13,20230414,2
13,20230417,2
13,20230418,2
14,20230406,2
14,20230407,2
14,20230410,2
14,20230414,2
14,20230417,2
14,20230421,2
14,20230424,2
15,20230406,2
15,20230407,2
15,20230410,2
15,20230411,2
15,20230412,2
15,20230413,2
15,20230414,2
15,20230417,2
15,20230418,2
16,20230406,2
16,20230407,2
16,20230410,2
17,20230407,2
17,20230410,2
18,20230407,2
18,20230410,2
19,20230406,2
19,20230407,2
19,20230410,2
20,20230406,2
20,20230407,2
20,20230410,2
20,20230411,2
20,20230412,2
20,20230413,2
21,20230406,2
21,20230407,2
21,20230410,2
21,20230411,2
21,20230413,2
21,20230418,2
21,20230420,2
21,20230425,2
21,20230427,2
22,20230407,2
22,20230410,2
22,20230414,2
22,20230417,2
22,20230421,2
22,20230424,2
23,20230407,2
23,20230410,2
23,20230411,2
23,20230413,2
23,20230418,2
23,20230420,2
23,20230425,2
23,20230427,2
24,20230407,2
24,20230410,2
24,20230414,2
24,20230421,2
25,20230407,2
25,20230410,2
26,20230407,2
26,20230410,2
26,20230414,2
26,20230421,2
28,20230407,2
28,20230410,2
28,20230411,2
28,20230412,2
28,20230413,2
28,20230417,2
28,20230418,2
28,20230419,2
28,20230420,2
28,20230424,2
28,20230425,2
28,20230426,2
28,20230427,2
29,20230407,2
29,20230410,2
30,20230407,2
30,20230410,2
30,20230411,2
30,20230412,2
30,20230413,2
31,20230407,2
31,20230410,2
31,20230412,2
31,20230414,2
31,20230417,2
31,20230419,2
31,20230421,2
31,20230424,2
31,20230426,2
32,20230407,2
32,20230410,2
33,20230407,1
33,20230410,1
34,20230407,1
34,20230408,2
34,20230410,1
34,20230415,2
34,20230422,2
34,20230429,2
35,20230407,1
35,20230408,2
35,20230409,2
35,20230410,1
36,20230407,1
36,20230416,2
36,20230423,2
37,20230407,1
37,20230408,2
37,20230409,2
37,20230416,2
37,20230423,2
38,20230407,1
38,20230410,1
38,20230416,2
38,20230423,2
39,20230407,1
39,20230408,2
39,20230409,2
39,20230410,1
39,20230415,2
39,20230422,2
40,20230407,1
41,20230407,1
41,20230410,1
41,20230415,2
42,20230407,1
42,20230410,1
43,20230407,1
44,20230407,1
44,20230410,1
45,20230407,1
45,20230408,2
45,20230409,2
46,20230407,1
46,20230408,2
46,20230409,2
46,20230416,2
47,20230407,1
47,20230408,2
47,20230409,2
48,20230407,1
48,20230408,2
48,20230409,2
48,20230415,2
48,20230416,2
48,20230423,2
49,20230407,1
49,20230410,1
49,20230415,2
50,20230407,1
50,20230409,2
50,20230416,2
50,20230423,2
51,20230407,1
52,20230407,1
52,20230409,2
52,20230410,1
52,20230416,2
52,20230423,2
53,20230407,1
53,20230408,2
53,20230415,2
53,20230422,2
53,20230429,2
54,20230407,1
54,20230408,2
54,20230409,2
54,20230415,2
54,20230416,2
55,20230407,1
55,20230408,2
56,20230407,1
56,20230415,2
56,20230416,2
56,20230423,2
57,20230407,1
57,20230410,1
58,20230407,1
58,20230410,1
59,20230407,1
60,20230409,2
60,20230416,2
60,20230423,2
62,20230410,1
62,20230415,2
62,20230422,2
62,20230429,2
65,20230410,1
65,20230415,2
65,20230416,2
65,20230422,2
65,20230423,2
66,20230409,2
66,20230410,1
66,20230415,2
66,20230416,2
66,20230422,2
66,20230423,2
67,20230409,2
67,20230410,1
68,20230409,2
68,20230410,1
68,20230415,2
68,20230416,2
68,20230422,2
68,20230423,2
68,20230429,2
69,20230409,2
69,20230415,2
69,20230416,2
69,20230422,2
69,20230423,2
70,20230415,2
70,20230416,2
70,20230422,2
70,20230423,2
70,20230429,2
71,20230415,2
71,20230416,2
71,20230422,2
71,20230423,2
72,20230410,1
73,20230416,2
73,20230423,2
74,20230409,2
74,20230410,1
74,20230416,2
74,20230423,2
77,20230410,1
78,20230409,2
79,20230409,2
79,20230410,1
80,20230415,2
80,20230422,2
80,20230429,2
82,20230415,2
82,20230416,2
82,20230422,2
82,20230423,2
83,20230410,1
83,20230415,2
83,20230422,2
83,20230429,2
84,20230415,2
84,20230422,2
84,20230429,2
85,20230410,1
85,20230415,2
86,20230410,1
87,20230415,2
87,20230416,2
87,20230422,2
87,20230423,2
87,20230429,2
88,20230410,1
88,20230415,2
88,20230422,2
89,20230410,1
90,20230410,1
90,20230415,2
92,20230414,2
93,20230412,2
93,20230413,2
93,20230414,2
93,20230418,2
93,20230419,2
93,20230420,2
93,20230421,2
94,20230412,2
94,20230413,2
94,20230414,2
96,20230414,2
97,20230413,2
97,20230414,2
97,20230420,2
97,20230421,2
101,20230412,2
101,20230414,2
101,20230417,2
101,20230419,2
101,20230421,2
101,20230424,2
101,20230426,2
103,20230417,2
103,20230418,2
103,20230419,2
103,20230424,2
103,20230425,2
103,20230426,2
104,20230417,2
104,20230418,2
104,20230419,2
104,20230420,2
104,20230424,2
104,20230425,2
104,20230426,2
104,20230427,2
105,20230418,2
105,20230419,2
105,20230420,2
105,20230425,2
105,20230426,2
105,20230427,2
109,20230416,2
109,20230423,2
110,20230416,2
110,20230423,2
111,20230417,2
111,20230424,2
113,20230422,2
114,20230422,2
114,20230429,2
115,20230423,2
119,20230421,2
121,20230424,2
121,20230425,2
121,20230426,2
121,20230427,2
123,20230423,2
124,20230423,2
127,20230429,2
142,20230406,2
142,20230409,2
144,20230406,2
144,20230409,2
145,20230407,2
145,20230410,2
146,20230406,2
146,20230409,2
147,20230407,2
147,20230410,2
148,20230407,1
149,20230406,1
149,20230407,2
149,20230408,2
149,20230409,1
150,20230406,1
150,20230409,1
151,20230406,1
151,20230409,1
153,20230409,1
153,20230430,1
154,20230409,2
154,20230415,2
155,20230409,1
158,20230409,1
159,20230409,1
159,20230430,1
160,20230410,1
171,20230430,1
175,20230430,1
