route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L103D99,1,1,"Dolní nádraží",1,,0,1
L103D99,1,2,"Dolní nádraží",1,,0,1
L103D99,1,3,"Hlavní nádraží",1,,1,1
L103D99,1,4,"Dolní nádraží",1,,0,1
L103D99,1,5,"Hlavní nádraží",1,,1,1
L103D99,1,6,"Dolní nádraží",1,,0,1
L103D99,1,7,"Dolní nádraží",1,,0,1
L103D99,1,8,"Hlavní nádraží",1,,1,1
L103D99,1,9,"Dolní nádraží",1,,0,1
L103D99,1,10,"Hlavní nádraží",1,,1,1
L103D99,1,11,"Dolní nádraží",1,,0,1
L103D99,1,12,"Hlavní nádraží",1,,1,1
L103D99,1,13,"Dolní nádraží",1,,0,1
L104D99,2,14,"ÚAN Zvonařka",1,,1,0
L104D99,2,15,"Laa an der Thaya, Therme",1,,0,0
L104D99,2,16,"Pohořelice, náměstí",1,,1,0
L104D99,2,17,"Laa an der Thaya, Therme",1,,0,0
L104D99,2,18,"ÚAN Zvonařka",1,,1,0
L104D99,2,19,"Laa an der Thaya, Therme",1,,0,0
L104D99,2,20,"Pohořelice, náměstí",1,,1,0
L104D99,2,21,"Hevlín, škola",1,,0,0
L104D99,2,22,"ÚAN Zvonařka",1,,1,0
L104D99,2,23,"Laa an der Thaya, Therme",1,,0,0
L104D99,2,24,"ÚAN Zvonařka",1,,1,0
L108D99,2,25,"Znojmo, autobusové nádraží",1,,0,1
L108D99,2,26,"ÚAN Zvonařka",1,,1,1
L104D99,2,27,"Hevlín, škola",1,,0,0
L104D99,2,28,"Laa an der Thaya, Therme",2,,0,0
L104D99,2,29,"ÚAN Zvonařka",2,,1,0
L104D99,2,30,"Laa an der Thaya, Therme",2,,0,0
L104D99,2,31,"Pohořelice, náměstí",2,,1,0
L104D99,2,32,"ÚAN Zvonařka",1,,1,0
L104D99,2,33,"Hevlín, škola",1,,0,0
L104D99,2,34,"ÚAN Zvonařka",1,,1,0
L104D99,2,35,"Laa an der Thaya, Therme",1,,0,0
L104D99,2,36,"ÚAN Zvonařka",1,,1,0
L104D99,2,37,"Laa an der Thaya, Therme",1,,0,0
L104D99,2,38,"Pohořelice, náměstí",1,,1,0
L104D99,2,39,"Hevlín, škola",1,,0,0
L104D99,3,40,"Hrušovany nad Jevišovkou, žel. st.",1,,1,0
L104D99,3,41,"Laa an der Thaya, Therme",1,,0,0
L104D99,3,42,"ÚAN Zvonařka",1,,1,0
L108D99,3,43,"Znojmo, autobusové nádraží",1,,0,1
L108D99,3,44,"ÚAN Zvonařka",1,,1,1
L104D99,3,45,"Laa an der Thaya, Therme",1,,0,0
L104D99,3,46,"Pohořelice, náměstí",1,,1,0
L104D99,3,47,"Hevlín, škola",1,,0,0
L105D99,2,48,"ÚAN Zvonařka",1,,1,0
L105D99,2,49,"Mikulov, železniční stanice",1,,0,0
L105D99,2,50,"ÚAN Zvonařka",1,,1,0
L105D99,2,51,"Mikulov, železniční stanice",1,,0,0
L105D99,2,52,"ÚAN Zvonařka",1,,1,0
L105D99,2,53,"Mikulov, železniční stanice",1,,0,0
L105D99,2,54,"ÚAN Zvonařka",1,,1,0
L105D99,2,55,"Mikulov, železniční stanice",1,,0,0
L105D99,2,56,"ÚAN Zvonařka",1,,1,0
L105D99,2,57,"Mikulov, železniční stanice",1,,0,0
L105D99,2,58,"ÚAN Zvonařka",1,,1,0
L105D99,2,59,"Mikulov, železniční stanice",1,,0,0
L105D99,2,60,"ÚAN Zvonařka",1,,1,0
L105D99,2,61,"Mikulov, železniční stanice",1,,0,0
L105D99,2,62,"ÚAN Zvonařka",1,,1,0
L105D99,2,63,"Mikulov, u parku",1,,0,0
L164D99,2,64,"Pohořelice, náměstí",1,,1,0
L105D99,2,65,"Mikulov, železniční stanice",1,,0,0
L105D99,2,66,"ÚAN Zvonařka",1,,1,0
L105D99,2,67,"Mikulov, železniční stanice",1,,0,0
L105D99,2,68,"ÚAN Zvonařka",1,,1,0
L504D99,2,69,"Pohořelice, náměstí",1,,0,0
L504D99,2,70,"Ústřední hřbitov",1,,1,0
L108D99,2,71,"Znojmo, autobusové nádraží",1,,0,1
L108D99,2,72,"ÚAN Zvonařka",1,,1,1
L504D99,2,73,"Pohořelice, náměstí",1,,0,0
L504D99,2,74,"Ústřední hřbitov",1,,1,0
L504D99,2,75,"Pohořelice, náměstí",1,1,0,0
L164D99,2,76,"Vedrovice, obecní úřad",1,1,0,0
L105D99,2,77,"ÚAN Zvonařka",1,,1,0
L105D99,2,78,"Mikulov, železniční stanice",1,,0,0
L105D99,2,79,"ÚAN Zvonařka",1,,1,0
L105D99,2,80,"Mikulov, železniční stanice",1,,0,0
L105D99,2,81,"ÚAN Zvonařka",1,,1,0
L105D99,2,82,"Mikulov, železniční stanice",1,,0,0
L105D99,2,83,"ÚAN Zvonařka",2,,1,0
L105D99,2,84,"Mikulov, železniční stanice",2,,0,0
L105D99,2,85,"ÚAN Zvonařka",2,,1,0
L105D99,2,86,"Mikulov, železniční stanice",2,,0,0
L105D99,2,87,"ÚAN Zvonařka",2,,1,0
L105D99,2,88,"Mikulov, železniční stanice",2,,0,0
L106D99,2,89,"ÚAN Zvonařka",1,,1,0
L106D99,2,90,"Kyjov, aut. st.",1,,0,0
L664D99,2,91,"Hodonín, autobusové nádraží",1,,1,0
L109D99,2,92,"ÚAN Zvonařka",1,,1,0
L106D99,2,93,"Kyjov, aut. st.",1,,0,0
L106D99,2,94,"ÚAN Zvonařka",1,,1,0
L106D99,2,95,"Kyjov, aut. st.",1,,0,0
L106D99,2,96,"ÚAN Zvonařka",1,,1,0
L106D99,2,97,"Kyjov, aut. st.",1,,0,0
L106D99,2,98,"ÚAN Zvonařka",1,,1,0
L106D99,2,99,"Kyjov, aut. st.",1,,0,0
L106D99,2,100,"ÚAN Zvonařka",1,,1,0
L106D99,2,101,"Kyjov, aut. st.",1,,0,0
L106D99,2,102,"ÚAN Zvonařka",1,,1,0
L106D99,2,103,"Kyjov, aut. st.",1,,0,0
L665D99,2,104,"Strážnice, aut. st.",1,,0,0
